brand,supplier_ref,normalized_ref,name,normalized_name,category,image_url,pdf_url,source_url
orkli,V-04339,V04339,"120,88 €","120,88 €",repuestos,,https://www.orkli.com/documents/26715/33991/Orkli%2Btarifa%2Brepuestos%2B2021%2Biraila/deb3b515-a3c0-4fbb-8015-a812a463dc95,https://www.orkli.com/documents/26715/33991/Orkli%2Btarifa%2Brepuestos%2B2021%2Biraila/deb3b515-a3c0-4fbb-8015-a812a463dc95
orkli,V-04340,V04340,"126,56 €","126,56 €",repuestos,,https://www.orkli.com/documents/26715/33991/Orkli%2Btarifa%2Brepuestos%2B2021%2Biraila/deb3b515-a3c0-4fbb-8015-a812a463dc95,https://www.orkli.com/documents/26715/33991/Orkli%2Btarifa%2Brepuestos%2B2021%2Biraila/deb3b515-a3c0-4fbb-8015-a812a463dc95
orkli,V-05667,V05667,"51,85 €","51,85 €",repuestos,,https://www.orkli.com/documents/26715/33991/Orkli%2Btarifa%2Brepuestos%2B2021%2Biraila/deb3b515-a3c0-4fbb-8015-a812a463dc95,https://www.orkli.com/documents/26715/33991/Orkli%2Btarifa%2Brepuestos%2B2021%2Biraila/deb3b515-a3c0-4fbb-8015-a812a463dc95
orkli,V-05929,V05929,"449,10 €","449,10 €",repuestos,,https://www.orkli.com/documents/26715/33991/Orkli%2Btarifa%2Brepuestos%2B2021%2Biraila/deb3b515-a3c0-4fbb-8015-a812a463dc95,https://www.orkli.com/documents/26715/33991/Orkli%2Btarifa%2Brepuestos%2B2021%2Biraila/deb3b515-a3c0-4fbb-8015-a812a463dc95
orkli,V-02634,V02634,"328,05 €","328,05 €",repuestos,,https://www.orkli.com/documents/26715/33991/Orkli%2Btarifa%2Brepuestos%2B2021%2Biraila/deb3b515-a3c0-4fbb-8015-a812a463dc95,https://www.orkli.com/documents/26715/33991/Orkli%2Btarifa%2Brepuestos%2B2021%2Biraila/deb3b515-a3c0-4fbb-8015-a812a463dc95
orkli,V-05504,V05504,"466,08 €","466,08 €",repuestos,,https://www.orkli.com/documents/26715/33991/Orkli%2Btarifa%2Brepuestos%2B2021%2Biraila/deb3b515-a3c0-4fbb-8015-a812a463dc95,https://www.orkli.com/documents/26715/33991/Orkli%2Btarifa%2Brepuestos%2B2021%2Biraila/deb3b515-a3c0-4fbb-8015-a812a463dc95
orkli,V-04337,V04337,"402,16 €","402,16 €",repuestos,,https://www.orkli.com/documents/26715/33991/Orkli%2Btarifa%2Brepuestos%2B2021%2Biraila/deb3b515-a3c0-4fbb-8015-a812a463dc95,https://www.orkli.com/documents/26715/33991/Orkli%2Btarifa%2Brepuestos%2B2021%2Biraila/deb3b515-a3c0-4fbb-8015-a812a463dc95
orkli,V-07293,V07293,"147,45 €","147,45 €",repuestos,,https://www.orkli.com/documents/26715/33991/Orkli%2Btarifa%2Brepuestos%2B2021%2Biraila/deb3b515-a3c0-4fbb-8015-a812a463dc95,https://www.orkli.com/documents/26715/33991/Orkli%2Btarifa%2Brepuestos%2B2021%2Biraila/deb3b515-a3c0-4fbb-8015-a812a463dc95
orkli,V-07294,V07294,"321,46 €","321,46 €",repuestos,,https://www.orkli.com/documents/26715/33991/Orkli%2Btarifa%2Brepuestos%2B2021%2Biraila/deb3b515-a3c0-4fbb-8015-a812a463dc95,https://www.orkli.com/documents/26715/33991/Orkli%2Btarifa%2Brepuestos%2B2021%2Biraila/deb3b515-a3c0-4fbb-8015-a812a463dc95
orkli,V-07295,V07295,"116,77 €","116,77 €",repuestos,,https://www.orkli.com/documents/26715/33991/Orkli%2Btarifa%2Brepuestos%2B2021%2Biraila/deb3b515-a3c0-4fbb-8015-a812a463dc95,https://www.orkli.com/documents/26715/33991/Orkli%2Btarifa%2Brepuestos%2B2021%2Biraila/deb3b515-a3c0-4fbb-8015-a812a463dc95
orkli,V-07296,V07296,"212,93 €","212,93 €",repuestos,,https://www.orkli.com/documents/26715/33991/Orkli%2Btarifa%2Brepuestos%2B2021%2Biraila/deb3b515-a3c0-4fbb-8015-a812a463dc95,https://www.orkli.com/documents/26715/33991/Orkli%2Btarifa%2Brepuestos%2B2021%2Biraila/deb3b515-a3c0-4fbb-8015-a812a463dc95
orkli,V-07297,V07297,"296,74 €","296,74 €",repuestos,,https://www.orkli.com/documents/26715/33991/Orkli%2Btarifa%2Brepuestos%2B2021%2Biraila/deb3b515-a3c0-4fbb-8015-a812a463dc95,https://www.orkli.com/documents/26715/33991/Orkli%2Btarifa%2Brepuestos%2B2021%2Biraila/deb3b515-a3c0-4fbb-8015-a812a463dc95
